segment,date_extract,income_statement,actual_month,forecast_month,budget_month,prev_year_month
CH,2021-10-01,Adjustments Other operating income,0.0,0.0,0.0,0.0
CH,2021-10-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0
CH,2021-10-01,Consolidated Revenues,49.70999999999998,51.014178000000015,51.20859399999995,51.686113999999975
CH,2021-10-01,Distribution expenses,-0.8160000000000007,-0.9530530000000006,-0.9256580000000003,-0.8739999999999988
CH,2021-10-01,External Revenues in LC,49.682000000000016,51.014178000000015,51.20859399999995,51.686113999999975
CH,2021-10-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0
CH,2021-10-01,EAT,-0.6669999999999998,-0.6855309999999997,-0.4985619999999997,-0.302886
CH,2021-10-01,Gross profit,6.838000000000008,7.480971000000025,7.752710000000022,7.081114000000007
CH,2021-10-01,Other operating income,0.21999999999999997,0.2573519999999998,0.18056499999999986,0.43699999999999983
CH,2021-11-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0
CH,2021-11-01,Distribution expenses,-0.9659999999999993,-1.4365360000000003,-0.9163190000000014,-0.8180000000000014
CH,2021-11-01,External Revenues,61.742999999999995,61.96503000000001,58.309136999999964,53.815999999999974
CH,2021-11-01,EBITDA reported,2.3840000000000003,1.381043,1.9152959999999997,1.0
CH,2021-11-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0
CH,2021-11-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0
CH,2021-11-01,EBITDA adjusted,2.3839999999999897,1.3810429999999396,1.9152959999999535,0.9999999999999911
CH,2021-11-01,Other operating income,-0.3660000000000001,0.3729410000000002,0.18056399999999995,0.19999999999999996
CH,2021-11-01,Adjustments integration,0.0,0.0,0.0,0.0
CH,2021-11-01,Personnel expenses,-4.404999000000004,-5.347161000000007,-3.6565200000000075,-3.761000000000003
CH,2021-11-01,Gross profit,11.24199999999999,9.010977999999952,8.43243299999996,7.2309999999999945
CH,2021-11-01,External Revenues in LC,61.742999999999995,61.96503000000001,58.309136999999964,53.815999999999974
CH,2021-11-01,EAT,0.6779999999999999,-2.814497,0.15646000000000004,-0.4479999999999995
CH,2021-11-01,Marketing expenses,-0.5749999999999993,0.23120999999999992,-0.7581190000000007,-0.39500000000000046
CH,2021-11-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0
CH,2021-11-01,Adjustments M&A,0.0,0.0,0.0,0.0
CH,2021-11-01,Other operating expenses,-2.5460010000000004,-1.4503890000000013,-1.3667429999999996,-1.4570000000000007
CH,2021-11-01,Consolidated Revenues,61.94799999999998,61.96503000000001,58.309136999999964,53.815999999999974
CH,2021-11-01,Adjustments Other operating income,0.0,0.0,0.0,0.0
CH,2021-11-01,EBIT,0.9680000000000001,-0.7567000000000002,0.678296,-0.232
CH,2021-12-01,Adjustments integration,0.0,0.0,0.0,0.0
CH,2021-12-01,EAT,1.1590000000000003,-2.0484810000000007,-0.6717979999999999,-2.774
CH,2021-12-01,Distribution expenses,-1.1630000000000003,-1.0587449999999983,-0.9950469999999978,-0.9129999999999985
CH,2021-12-01,Adjustments Other operating income,0.0,0.0,0.0,0.0
CH,2021-12-01,Marketing expenses,-1.2060000000000004,-1.3913910000000005,-0.7990669999999991,-1.1099999999999994
CH,2021-12-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0
CH,2021-12-01,EBITDA reported,2.9380000000000006,0.2445019999999989,1.5634430000000012,1.439
CH,2021-12-01,Personnel expenses,-1.303999999999995,-4.132186999999995,-3.7748139999999992,-3.0079999999999956
CH,2021-12-01,Other operating income,-0.42199999999999993,0.2073299999999998,0.1805650000000001,-0.3899999999999999
CH,2021-12-01,Gross profit,8.837000000000003,8.215145000000007,8.389991000000052,7.707999999999998
CH,2021-12-01,External Revenues in LC,57.78099999999995,55.367868000000044,56.20613900000012,52.69800000000009
CH,2021-12-01,External Revenues,57.78099999999995,55.367868000000044,56.20613900000012,52.69800000000009
CH,2021-12-01,Consolidated Revenues,57.548,55.367868000000044,56.20613900000012,52.69800000000009
CH,2021-12-01,Adjustments M&A,0.0,0.0,0.0,0.0
CH,2021-12-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0
CH,2021-12-01,EBIT,1.419,-1.373494,-0.222557,0.174
CH,2021-12-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0
CH,2021-12-01,EBITDA adjusted,2.938000000000006,0.24450200000000777,1.5634430000000403,1.4390000000000054
CH,2021-12-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0
CH,2021-12-01,Other operating expenses,-1.8039999999999985,-1.5956499999999973,-1.438184999999999,-0.8480000000000008
CH,2022-01-01,Marketing expenses,-0.356,-0.356,-0.711901,-0.419
CH,2022-01-01,Gross profit,7.118,7.118,7.5146359999999985,6.521
CH,2022-01-01,External Revenues,51.508,51.508,49.584272,46.147
CH,2022-01-01,Personnel expenses,-3.988,-3.988,-4.086734,-3.691
CH,2022-01-01,External Revenues in LC,51.508,51.508,49.584272,46.147
CH,2022-01-01,Adjustments Other operating income,0.0,0.0,0.0,0.0
CH,2022-01-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0
CH,2022-01-01,EAT,-1.096,-1.096,-1.002014,-1.053
CH,2022-01-01,Other operating expenses,-1.468,-1.468,-1.504969,-1.183
CH,2022-01-01,Distribution expenses,-0.851,-0.851,-0.90296,-0.842
CH,2022-01-01,EBIT,-0.692,-0.692,-0.628764,-0.838
CH,2022-01-01,Adjustments integration,0.0,0.0,0.0,0.0
CH,2022-01-01,Adjustments M&A,0.0,0.0,0.0,0.0
CH,2022-01-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0
CH,2022-01-01,Consolidated Revenues,51.508,51.508,49.584272,46.147
CH,2022-01-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0
CH,2022-01-01,Other operating income,0.114,0.114,0.32608,0.123
CH,2022-01-01,EBITDA adjusted,0.5690000000000004,0.5690000000000004,0.6341519999999985,0.5090000000000001
CH,2022-01-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0
CH,2022-01-01,EBITDA reported,0.569,0.569,0.634152,0.509
CH,2022-02-01,Adjustments Other operating income,0.0,0.0,0.0,0.0
CH,2022-02-01,External Revenues in LC,49.544999999999995,49.770999999999994,47.469014,44.76
CH,2022-02-01,Gross profit,7.4079999999999995,7.4079999999999995,7.24064099999999,6.755999999999999
CH,2022-02-01,EAT,-0.6799999999999999,-0.6799999999999999,-1.0961790000000002,-1.076
CH,2022-02-01,EBITDA reported,0.931,0.931,0.5429869999999999,0.29800000000000004
CH,2022-02-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0
CH,2022-02-01,External Revenues,49.544999999999995,49.770999999999994,47.469014,44.76
CH,2022-02-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0
CH,2022-02-01,Personnel expenses,-3.8409999999999997,-3.8409999999999997,-4.141135,-3.8550000000000004
CH,2022-02-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0
CH,2022-02-01,Adjustments integration,0.0,0.0,0.0,0.0
CH,2022-02-01,Other operating income,0.12199999999999998,0.12199999999999998,0.32630699999999996,0.124
CH,2022-02-01,Marketing expenses,-0.534,-0.534,-0.6740719999999999,-0.5959999999999999
CH,2022-02-01,Other operating expenses,-1.452,-1.452,-1.3145609999999999,-1.329
CH,2022-02-01,EBITDA adjusted,0.9310000000000005,0.9310000000000005,0.5429869999999881,0.29799999999999893
CH,2022-02-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0
CH,2022-02-01,Consolidated Revenues,49.770999999999994,49.770999999999994,47.469014,44.76
CH,2022-02-01,Distribution expenses,-0.772,-0.772,-0.894193,-0.8019999999999999
CH,2022-02-01,Adjustments M&A,0.0,0.0,0.0,0.0
CH,2022-02-01,EBIT,-0.32000000000000006,-0.32000000000000006,-0.7339289999999999,-0.8890000000000001
CH,2022-03-01,Other operating expenses,-1.4258000000000006,-1.4258000000000006,-1.1802300000000003,-1.0710000000000002
CH,2022-03-01,Gross profit,8.327000000000002,8.327000000000002,9.111031000000025,8.241000000000001
CH,2022-03-01,EAT,0.12420000000000009,0.12420000000000009,0.3319890000000001,0.27
CH,2022-03-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0
CH,2022-03-01,Distribution expenses,-1.018,-1.018,-0.9639360000000001,-0.9930000000000001
CH,2022-03-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0
CH,2022-03-01,Adjustments integration,0.0,0.0,0.0,0.0
CH,2022-03-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0
CH,2022-03-01,EBITDA reported,1.5661999999999998,1.5661999999999998,1.9461589999999998,2.805
CH,2022-03-01,Adjustments M&A,0.0,0.0,0.0,0.0
CH,2022-03-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0
CH,2022-03-01,EBIT,0.2722000000000001,0.2722000000000001,0.707239,1.3090000000000002
CH,2022-03-01,EBITDA adjusted,1.5661999999999994,1.5661999999999994,1.9461590000000317,2.805000000000001
CH,2022-03-01,Consolidated Revenues,60.259000000000015,60.259000000000015,59.738523,56.10600000000001
CH,2022-03-01,Other operating income,0.16800000000000004,0.16800000000000004,-0.36488699999999996,0.375
CH,2022-03-01,Marketing expenses,-0.5730000000000001,-0.5730000000000001,-0.576141,-0.09100000000000019
CH,2022-03-01,Adjustments Other operating income,0.0,0.0,0.0,0.0
CH,2022-03-01,Personnel expenses,-3.912,-3.912,-4.0796779999999995,-3.6559999999999997
CH,2022-03-01,External Revenues,60.485000000000014,60.259000000000015,59.738523,56.10600000000001
CH,2022-03-01,External Revenues in LC,60.485000000000014,60.259000000000015,59.738523,56.10600000000001
CH,2022-04-01,External Revenues,49.867999999999995,49.867999999999995,49.692271000000005,49.498999999999995
CH,2022-04-01,Other operating expenses,-1.4829999999999997,-1.4829999999999997,-1.5607579999999999,-1.572
CH,2022-04-01,Marketing expenses,-0.33099999999999996,-0.33099999999999996,-0.6732040000000004,-0.5329999999999999
CH,2022-04-01,External Revenues in LC,49.867999999999995,49.867999999999995,49.692271000000005,49.498999999999995
CH,2022-04-01,Other operating income,0.11599999999999999,0.11599999999999999,0.09512900000000002,0.119
CH,2022-04-01,Adjustments integration,0.0,0.0,0.0,0.0
CH,2022-04-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0
CH,2022-04-01,Distribution expenses,-0.8315000000000001,-0.8315000000000001,-1.007006,-0.935
CH,2022-04-01,Gross profit,6.899999999999999,6.899999999999999,7.704726999999963,7.7620000000000005
CH,2022-04-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0
CH,2022-04-01,Personnel expenses,-3.9429999999999996,-3.9429999999999996,-4.092420000000001,-3.8889999999999993
CH,2022-04-01,Adjustments Other operating income,0.0,0.0,0.0,0.0
CH,2022-04-01,EAT,-1.0455000000000003,-1.0455000000000003,-1.168698,-0.508
CH,2022-04-01,Consolidated Revenues,49.867999999999995,49.867999999999995,49.692271000000005,49.498999999999995
CH,2022-04-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0
CH,2022-04-01,Adjustments M&A,0.0,0.0,0.0,0.0
CH,2022-04-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0
CH,2022-04-01,EBIT,-0.8625000000000002,-0.8625000000000002,-0.7994479999999999,-0.302
CH,2022-04-01,EBITDA reported,0.4275000000000002,0.4275000000000002,0.4664680000000003,0.952
CH,2022-04-01,EBITDA adjusted,0.4274999999999993,0.4274999999999993,0.4664679999999559,0.9520000000000008
DE,2021-12-01,ACTIVE_CUSTOMER_OTC,1169598.0,,,
DE,2021-12-01,ACTIVE_CUSTOMER_RX,153001.0,,,
DE,2021-12-01,ACTIVE_CUSTOMER,1353207.0,,,
DE,2021-12-01,CUSTOMER_NEW,366871.0,,,
DE,2021-12-01,CUSTOMER_REPEAT,986342.0,,,
DE,2021-12-01,CUSTOMER_NEW_OTC,347611.0,,,
DE,2021-12-01,CUSTOMER_NEW_RX,9920.0,,,
DE,2021-12-01,ORDERS_CUSTOMER_NEW,379176.0,,,
DE,2021-12-01,ORDERS_CUSTOMER_REPEAT,1496784.0,,,
DE,2021-12-01,ORDERS,1875960.0,,,
DE,2021-12-01,ORDERS_CUSTOMER_OTC,1667964.0,,,
DE,2021-12-01,ORDERS_CUSTOMER_RX,176516.0,,,
DE,2021-12-01,NET_SALES,82107032.7412,,,
DE,2021-12-01,NET_SALES_CUSTOMER_OTC,63593298.2845,,,
DE,2021-12-01,NET_SALES_CUSTOMER_RX,18283450.2851,,,
DE,2021-12-01,SALES_NET_ONLINE,61693141.6054,,,
DE,2021-12-01,ORDERS_ONLINE,1633547.0,,,
DE,2021-12-01,ACTIVE_CUSTOMER_1Y_ROLLING,8446012.0,,,
DE,2021-12-01,BASKET_AVG,41.362787162796,,,
DE,2021-12-01,BASKET_AVG_OTC,37.6379034467515,,,
DE,2021-12-01,BASKET_AVG_RX,102.28495394765025,,,
DE,2021-12-01,NPS,60.482179333333,,,
DE,2021-12-01,SITE_VISITS,6611980.0,,,
DE,2021-12-01,ORDERS_1Y_ROLLING,23645590,,,
CH,2020-04-01,ACTIVE_CUSTOMER_OTC,20216.0,,,
CH,2020-04-01,ACTIVE_CUSTOMER_RX,29545.0,,,
CH,2020-04-01,ACTIVE_CUSTOMER,49761.0,,,
CH,2020-04-01,CUSTOMER_NEW,11225.0,,,
CH,2020-04-01,CUSTOMER_REPEAT,38536.0,,,
CH,2020-04-01,CUSTOMER_NEW_OTC,9098.0,,,
CH,2020-04-01,CUSTOMER_NEW_RX,2127.0,,,
CH,2020-04-01,ORDERS_CUSTOMER_NEW,12533.0,,,
CH,2020-04-01,ORDERS_CUSTOMER_REPEAT,52655.0,,,
CH,2020-04-01,ORDERS,65188.0,,,
CH,2020-04-01,ORDERS_CUSTOMER_OTC,23370.0,,,
CH,2020-04-01,ORDERS_CUSTOMER_RX,40750.0,,,
CH,2020-04-01,NET_SALES,10097049.88,,,
CH,2020-04-01,NET_SALES_CUSTOMER_OTC,1845321.23,,,
CH,2020-04-01,NET_SALES_CUSTOMER_RX,8127643.41,,,
CH,2020-04-01,ACTIVE_CUSTOMER_1Y_ROLLING,159881.0,,,
CH,2020-04-01,BASKET_AVG,154.89,,,
CH,2020-04-01,BASKET_AVG_OTC,78.96,,,
CH,2020-04-01,BASKET_AVG_RX,199.45,,,
CH,2020-04-01,ORDERS_1Y_ROLLING,226770.0,,,
CH,2021-06-01,ACTIVE_CUSTOMER_OTC,15830.0,,,
CH,2021-06-01,ACTIVE_CUSTOMER_RX,71955.0,,,
CH,2021-06-01,ACTIVE_CUSTOMER,87785.0,,,
CH,2021-06-01,CUSTOMER_NEW,32564.0,,,
CH,2021-06-01,CUSTOMER_REPEAT,55221.0,,,
CH,2021-06-01,CUSTOMER_NEW_OTC,5611.0,,,
CH,2021-06-01,CUSTOMER_NEW_RX,26953.0,,,
CH,2021-06-01,ORDERS_CUSTOMER_NEW,33426.0,,,
CH,2021-06-01,ORDERS_CUSTOMER_REPEAT,71041.0,,,
CH,2021-06-01,ORDERS,104467.0,,,
CH,2021-06-01,ORDERS_CUSTOMER_OTC,17440.0,,,
CH,2021-06-01,ORDERS_CUSTOMER_RX,85695.0,,,
CH,2021-06-01,NET_SALES,14841483.35,,,
CH,2021-06-01,NET_SALES_CUSTOMER_OTC,1359560.4,,,
CH,2021-06-01,NET_SALES_CUSTOMER_RX,13293333.63,,,
CH,2021-06-01,ACTIVE_CUSTOMER_1Y_ROLLING,281835.0,,,
CH,2021-06-01,BASKET_AVG,142.07,,,
CH,2021-06-01,BASKET_AVG_OTC,77.96,,,
CH,2021-06-01,BASKET_AVG_RX,155.12,,,
CH,2021-06-01,ORDERS_1Y_ROLLING,819196.0,,,
CH,2022-01-01,ACTIVE_CUSTOMER_OTC,21203.0,,,
CH,2022-01-01,ACTIVE_CUSTOMER_RX,27784.0,,,
CH,2022-01-01,ACTIVE_CUSTOMER,48987.0,,,
CH,2022-01-01,CUSTOMER_NEW,8596.0,,,
CH,2022-01-01,CUSTOMER_REPEAT,40391.0,,,
CH,2022-01-01,CUSTOMER_NEW_OTC,7266.0,,,
CH,2022-01-01,CUSTOMER_NEW_RX,1330.0,,,
CH,2022-01-01,ORDERS_CUSTOMER_NEW,9190.0,,,
CH,2022-01-01,ORDERS_CUSTOMER_REPEAT,52240.0,,,
CH,2022-01-01,ORDERS,61430.0,,,
CH,2022-01-01,ORDERS_CUSTOMER_OTC,23223.0,,,
CH,2022-01-01,ORDERS_CUSTOMER_RX,37478.0,,,
CH,2022-01-01,NET_SALES,12651319.08,,,
CH,2022-01-01,NET_SALES_CUSTOMER_OTC,1954930.86,,,
CH,2022-01-01,NET_SALES_CUSTOMER_RX,10502819.77,,,
CH,2022-01-01,ACTIVE_CUSTOMER_1Y_ROLLING,311685.0,,,
CH,2022-01-01,BASKET_AVG,205.95,,,
CH,2022-01-01,BASKET_AVG_OTC,84.18,,,
CH,2022-01-01,BASKET_AVG_RX,280.24,,,
CH,2022-01-01,ORDERS_1Y_ROLLING,877215.0,,,
CH,2022-11-01,ACTIVE_CUSTOMER_OTC,9064.0,,,
CH,2022-11-01,ACTIVE_CUSTOMER_RX,20461.0,,,
CH,2022-11-01,ACTIVE_CUSTOMER,29525.0,,,
CH,2022-11-01,CUSTOMER_NEW,3115.0,,,
CH,2022-11-01,CUSTOMER_REPEAT,26410.0,,,
CH,2022-11-01,CUSTOMER_NEW_OTC,2331.0,,,
CH,2022-11-01,CUSTOMER_NEW_RX,784.0,,,
CH,2022-11-01,ORDERS_CUSTOMER_NEW,3343.0,,,
CH,2022-11-01,ORDERS_CUSTOMER_REPEAT,33738.0,,,
CH,2022-11-01,ORDERS,37081.0,,,
CH,2022-11-01,ORDERS_CUSTOMER_OTC,9507.0,,,
CH,2022-11-01,ORDERS_CUSTOMER_RX,26993.0,,,
CH,2022-11-01,NET_SALES,8353453.43,,,
CH,2022-11-01,NET_SALES_CUSTOMER_OTC,769327.83,,,
CH,2022-11-01,NET_SALES_CUSTOMER_RX,7476548.44,,,
CH,2022-11-01,ACTIVE_CUSTOMER_1Y_ROLLING,187009.0,,,
CH,2022-11-01,BASKET_AVG,225.28,,,
CH,2022-11-01,BASKET_AVG_OTC,80.92,,,
CH,2022-11-01,BASKET_AVG_RX,276.98,,,
CH,2022-11-01,ORDERS_1Y_ROLLING,657628.0,,,
EU,2021-10-01,ACTIVE_CUSTOMER,1167077.0,,,
EU,2021-10-01,CUSTOMER_NEW,70920.0,,,
EU,2021-10-01,CUSTOMER_REPEAT,80858.0,,,
EU,2021-10-01,CUSTOMER_NEW_OTC,70920.0,,,
EU,2021-10-01,NET_SALES,5797047.58,,,
EU,2021-10-01,ACTIVE_CUSTOMER_1Y_ROLLING,1167077.0,,,
EU,2021-10-01,BASKET_AVG,34.883307538631875,,,
EU,2021-10-01,SITE_VISITS,7378298.0,,,
EU,2021-10-01,ROAS,1.6314875687262687,,,
EU,2021-10-01,ORDERS_1Y_ROLLING,1901693.6176500001,,,
EU,2021-04-01,ACTIVE_CUSTOMER,1099647.0,,,
EU,2021-04-01,CUSTOMER_NEW,70897.0,,,
EU,2021-04-01,CUSTOMER_REPEAT,77630.0,,,
EU,2021-04-01,CUSTOMER_NEW_OTC,70897.0,,,
EU,2021-04-01,NET_SALES,5737230.7700000005,,,
EU,2021-04-01,ACTIVE_CUSTOMER_1Y_ROLLING,1099647.0,,,
EU,2021-04-01,BASKET_AVG,35.54049340882623,,,
EU,2021-04-01,SITE_VISITS,5886142.0,,,
EU,2021-04-01,ROAS,5.9753407963121905,,,
EU,2021-04-01,ORDERS_1Y_ROLLING,1806999.331338,,,
EU,2022-05-01,ACTIVE_CUSTOMER,1190315.0,,,
EU,2022-05-01,CUSTOMER_NEW,58175.0,,,
EU,2022-05-01,CUSTOMER_REPEAT,91002.0,,,
EU,2022-05-01,CUSTOMER_NEW_OTC,58175.0,,,
EU,2022-05-01,NET_SALES,5928822.890000001,,,
EU,2022-05-01,ACTIVE_CUSTOMER_1Y_ROLLING,1190315.0,,,
EU,2022-05-01,BASKET_AVG,36.13813781543338,,,
EU,2022-05-01,SITE_VISITS,7945882.0,,,
EU,2022-05-01,ROAS,6.509085252614664,,,
EU,2022-05-01,ORDERS_1Y_ROLLING,1944437.877935,,,
EU,2020-07-01,ACTIVE_CUSTOMER,899306.0,,,
EU,2020-07-01,CUSTOMER_NEW,61209.0,,,
EU,2020-07-01,CUSTOMER_REPEAT,62458.0,,,
EU,2020-07-01,CUSTOMER_NEW_OTC,61209.0,,,
EU,2020-07-01,NET_SALES,4760404.45,,,
EU,2020-07-01,ACTIVE_CUSTOMER_1Y_ROLLING,899306.0,,,
EU,2020-07-01,BASKET_AVG,34.60602246292527,,,
EU,2020-07-01,SITE_VISITS,5963566.0,,,
EU,2020-07-01,ROAS,5.580290935953879,,,
EU,2020-07-01,ORDERS_1Y_ROLLING,1426506.15638,,,
Group,2020-02-01,ACTIVE_CUSTOMER_OTC,987026.0,,,
Group,2020-02-01,ACTIVE_CUSTOMER_RX,198331.0,,,
Group,2020-02-01,ACTIVE_CUSTOMER,1850197.0,,,
Group,2020-02-01,CUSTOMER_NEW,1145748.0,,,
Group,2020-02-01,CUSTOMER_REPEAT,178380.0,,,
Group,2020-02-01,CUSTOMER_NEW_OTC,984392.0,,,
Group,2020-02-01,CUSTOMER_NEW_RX,141015.0,,,
Group,2020-02-01,ORDERS_CUSTOMER_NEW,1244402.0,,,
Group,2020-02-01,ORDERS_CUSTOMER_REPEAT,570858.0,,,
Group,2020-02-01,ORDERS,1815260.0,,,
Group,2020-02-01,ORDERS_CUSTOMER_OTC,1538786.0,,,
Group,2020-02-01,ORDERS_CUSTOMER_RX,233055.0,,,
Group,2020-02-01,NET_SALES,92248082.1137,,,
Group,2020-02-01,NET_SALES_CUSTOMER_OTC,59072422.8519,,,
Group,2020-02-01,NET_SALES_CUSTOMER_RX,29053744.0238,,,
Group,2020-02-01,SALES_NET_ONLINE,56844883.2128,,,
Group,2020-02-01,ORDERS_ONLINE,1488330.0,,,
Group,2020-02-01,ACTIVE_CUSTOMER_1Y_ROLLING,1818892.0,,,
Group,2020-02-01,BASKET_AVG,68.37974168415543,,,
Group,2020-02-01,BASKET_AVG_OTC,45.146393850311995,,,
Group,2020-02-01,BASKET_AVG_RX,130.617618175271,,,
Group,2020-02-01,NPS,66.2275,,,
Group,2020-02-01,SITE_VISITS,5185755.0,,,
Group,2020-02-01,ROAS,4.107044131397638,,,
Group,2020-02-01,ORDERS_1Y_ROLLING,18232518.680108,,,
Group,2021-08-01,ACTIVE_CUSTOMER_OTC,1197443.0,,,
Group,2021-08-01,ACTIVE_CUSTOMER_RX,174440.0,,,
Group,2021-08-01,ACTIVE_CUSTOMER,2534164.0,,,
Group,2021-08-01,CUSTOMER_NEW,476378.0,,,
Group,2021-08-01,CUSTOMER_REPEAT,1057652.0,,,
Group,2021-08-01,CUSTOMER_NEW_OTC,452312.0,,,
Group,2021-08-01,CUSTOMER_NEW_RX,12150.0,,,
Group,2021-08-01,ORDERS_CUSTOMER_NEW,433794.0,,,
Group,2021-08-01,ORDERS_CUSTOMER_REPEAT,1541661.0,,,
Group,2021-08-01,ORDERS,1975455.0,,,
Group,2021-08-01,ORDERS_CUSTOMER_OTC,1732111.0,,,
Group,2021-08-01,ORDERS_CUSTOMER_RX,206316.0,,,
Group,2021-08-01,NET_SALES,100143466.1018,,,
Group,2021-08-01,NET_SALES_CUSTOMER_OTC,67468389.2096,,,
Group,2021-08-01,NET_SALES_CUSTOMER_RX,27407411.3636,,,
Group,2021-08-01,SALES_NET_ONLINE,63658831.977,,,
Group,2021-08-01,ORDERS_ONLINE,1680861.0,,,
Group,2021-08-01,ACTIVE_CUSTOMER_1Y_ROLLING,9494043.0,,,
Group,2021-08-01,BASKET_AVG,62.71687720101775,,,
Group,2021-08-01,BASKET_AVG_OTC,46.945597452022,,,
Group,2021-08-01,BASKET_AVG_RX,122.8410447075562,,,
Group,2021-08-01,NPS,65.272899333333,,,
Group,2021-08-01,SITE_VISITS,12958514,,,
Group,2021-08-01,ROAS,3.2797538402902315,,,
Group,2021-08-01,ORDERS_1Y_ROLLING,25092968.455068,,,
Group,2021-09-01,ACTIVE_CUSTOMER_OTC,1143086.0,,,
Group,2021-09-01,ACTIVE_CUSTOMER_RX,185820.0,,,
Group,2021-09-01,ACTIVE_CUSTOMER,2504312.0,,,
Group,2021-09-01,CUSTOMER_NEW,453771.0,,,
Group,2021-09-01,CUSTOMER_REPEAT,1047424.0,,,
Group,2021-09-01,CUSTOMER_NEW_OTC,430169.0,,,
Group,2021-09-01,CUSTOMER_NEW_RX,14361.0,,,
Group,2021-09-01,ORDERS_CUSTOMER_NEW,400059.0,,,
